id,label_true,aff_d300_euclidean,title,text
26176628,11,840,Продавец-консультант в салон связи,"Продавец-консультант в салон связи Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны, и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды! Ты:  Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?  Чем ты будешь заниматься:  Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.  У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2 c плавающими выходными)  Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:  Оформление в штат без стажировки.  Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта! Приходи, будет круто!"
23671825,11,840,Продавец-консультант в салон связи Beeline,"Продавец-консультант в салон связи Beeline Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды! Ты:  Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?  Чем ты будешь заниматься:  Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.  У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2, плавающие выходные, 2 варианта смен в день)    Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:   Оформление в штат без стажировки.    Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта! Приходи, будет круто! "
23053831,11,840,Продавец-консультант ( салон сотовой связи Билайн),"Продавец-консультант ( салон сотовой связи Билайн) Ты:  Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?    Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды!   Чем ты будешь заниматься:  Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.     У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: регулярные конкурсы с призами, открытое общение с коллегами в корпоративной сети и в реальном мире. Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы.    Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта! Приходи, будет круто, ведь ЭтоБилайнДетка"
23688294,11,840,"Продавец-консультант ""Билайн""","Продавец-консультант ""Билайн"" Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды! Ты:   Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?  Чем ты будешь заниматься:   Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.  У тебя будет:   Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2 , c плавающими выходными, 2 варианта смен в день)  Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:   Оформление в штат без стажировки.    Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта!Приходи, будет круто! #яработаювбилайн #хочувбилайн #followbeeline  "
25614438,11,840,Продавец-консультант офиса продаж,"Продавец-консультант офиса продаж Обязанности: Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды! Чем ты будешь заниматься: Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи. Требования: Ты: Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху? Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Условия: У тебя будет: Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2, плавающие выходные, 2 варианта смен в день) Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта! Приходи, будет круто! #яработаювбилайн #хочувбилайн #followbeeline"
27750568,11,840,Начинающий специалист,"Начинающий специалист Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны, и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды! Ты:  Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?  Чем ты будешь заниматься:  Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.  У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2 c плавающими выходными, 2/2)    Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:   Оформление в штат без стажировки.    Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта! Приходи, будет круто! #яработаювбилайн #хочувбилайн #followbeeline"
23414373,11,840,Управляющий розничным магазином,"Управляющий розничным магазином Уже имеешь опыт управления командой продавцов и хочешь развиваться в этом направлении? Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Чем ты будешь заниматься:  Планирование и организация работы офиса; Контроль выполнения планов продаж и поставленных задач; Развитие персонала и мотивация сотрудников; Организация и обеспечение своевременного выполнения сотрудниками функциональных задач, правил и процедур, принятых в Компании; Организация промо-мероприятий, направленных на привлечение клиентов; Создание эффективной команды.  У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2, плавающие выходные)    Мы верим в возможности человека и помогаем их раскрывать! Приходи, будет круто! #яработаювбилайн #хочувбилайн #followbeeline  "
27994548,11,840,"Руководитель офиса продаж ""Билайн""","Руководитель офиса продаж ""Билайн"" Уже имеешь опыт управления командой продавцов и хочешь развиваться в этом направлении? Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием?   Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Чем ты будешь заниматься:  Планирование и организация работы офиса; Контроль выполнения планов продаж и поставленных задач; Развитие персонала и мотивация сотрудников; Организация и обеспечение своевременного выполнения сотрудниками функциональных задач, правил и процедур, принятых в Компании; Организация промо-мероприятий, направленных на привлечение клиентов; Создание эффективной команды.  У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2, плавающие выходные)    Приходи, будет круто!#яработаювбилайн #хочувбилайн #followbeeline"
23409503,11,840,Менеджер по продажам,"Менеджер по продажам Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды! Ты:  Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?  Чем ты будешь заниматься:  Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.  У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2 c плавающими выходными, 2/2)  Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:   Оформление в штат без стажировки.      Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта! Приходи, будет круто! #яработаювбилайн #хочувбилайн #followbeeline    "
26188060,11,840,Продавец-консультант,"Продавец-консультант Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны, и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!! Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды! Ты:  Мечтаешь работать с технологиями, опережающими время и создающими будущее? Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты? Хочешь знать, как это – приходить на работу с удовольствием? Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?  Чем ты будешь заниматься:  Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним! Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.  У тебя будет:  Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Профессиональные конкурсы с крутыми призами – можно выиграть денежный приз, поездку на Формулу-1 и даже автомобиль! Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок. Возможность отлично зарабатывать: гарантированный оклад + бонус без потолка! Полностью официальное оформление и выплаты. Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг! Удобное место и график работы (5/2, плавающие выходные, 2 варианта смен в день)    Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:   Оформление в штат без стажировки.    Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта! Приходи, будет круто! яработаювбилайн хочувбилайн followbeeline"
