id,id,label,title
21984208,21984208,38,Веб программист C#
22946676,22946676,36,Программист Oracle
23774457,23774457,38,HTML-верстальщик
25307959,25307959,38,Senior developer MS SharePoint/ C# / ASP.Net
24154722,24154722,36,Junior/Middle Unity3D Developer
24878861,24878861,38,Инженер-программист
22232902,22232902,26,Java-программист
25949674,25949674,38,Ведущий инженер-программист. NET (Инжиниринговая компания)
23990981,23990981,8,Программист (разработчик) BI
28073779,28073779,38,Java Full-Stack Developer
20353296,20353296,0,Программист Python
25188335,25188335,28,Senior android developer
24613165,24613165,8,ReactJS разработчик
26191273,26191273,8,Программист
24297562,24297562,38,Win-программист NET
23496245,23496245,5,PHP Developer
20052199,20052199,38,Преподаватель курсов по .Net
25855557,25855557,38,Программист 1С
25799271,25799271,10,PHP-разработчик
23495902,23495902,38,Программист-разработчик Java EE Middle / Advanced
24186180,24186180,28,Программист PHP (развитие портала по продаже картин).
20290594,20290594,10,Perl Developer
23769694,23769694,10,Наладчик станков с ЧПУ
23482701,23482701,31,Senior Web-Developer
25650338,25650338,38,Программист Битрикс
23416511,23416511,38,Программист 1С
22451565,22451565,38,Web программист / разработчик на Java
23016935,23016935,18,Программист 1С
25874554,25874554,36,Android Разработчик
23691581,23691581,36,Программист 1С/Ведущий программист
25220673,25220673,18,Python разработчик
26046421,26046421,36,Программист 1С
20348525,20348525,36,Ведущий инженер-программист
24953440,24953440,38,Ведущий инженер-разработчик
27186185,27186185,26,Full stack программист ASP.NET (стажер)
20606132,20606132,28,Программист 1С
21520200,21520200,38,Программист 1C:ЗУП
23221809,23221809,38,Web-программист Bitrix
23700293,23700293,36,Программист 1C
20520074,20520074,9,Middle / Middle+ Node.js Developer
25496777,25496777,38,Программист Python
23414997,23414997,38,Программист 1С
23041390,23041390,28,Ведущий разработчик Java
23284644,23284644,5,.net Разработчик
22337405,22337405,38,IOS developer (Middle / Junior)
23834056,23834056,8,Java-разработчик
22487134,22487134,38,Веб-разработчик
24122712,24122712,28,Программист 1С
25939033,25939033,8,Инженер-программист в отдел информационных систем
24406632,24406632,38,JavaScript Developer
21937396,21937396,8,Разработчик Web Front-end JavaScript/HTML5
20466536,20466536,36,Инженер-программист 1С
23054666,23054666,38,Backend разработчик
24578286,24578286,28,Frontend-разработчик
23281420,23281420,5,Junior frontend-разработчик (проект Ridero)
23005984,23005984,10,Java разработчик
25091772,25091772,38,Разработчик систем компьютерного зрения
20431248,20431248,38,Secure software developer
27453517,27453517,38,Веб программист 1С-Битрикс
20616548,20616548,38,Программист 1С
23271631,23271631,38,IOS разработчик
25972728,25972728,26,Инженер-программист
23990325,23990325,18,Веб-мастер / Html-верстальщик
27909084,27909084,38,Разработчик приложений (Sailfish OS)
20564668,20564668,28,Программист C#/Unity3D
21573967,21573967,36,Программист 1С
23801167,23801167,36,Web-программист
27295346,27295346,40,Стажер программист / web-разработчик
25447354,25447354,36,PHP-программист/Стажер
24850654,24850654,38,JavaScript Developer
22792460,22792460,36,Middle/Senior Java программист - автоматизатор
24979469,24979469,36,Ruby Full-Stack Developer
26060041,26060041,36,Программист 1C
22560115,22560115,36,Инженер-программист
24744265,24744265,38,"Web разработчик (Full Stack: Python, JS, SQL), г. Краснодар"
24977817,24977817,36,Разработчик IOS
25117820,25117820,38,Java-разработчик
28031596,28031596,5,Javascript (ES6) developer
22348666,22348666,10,Программист 1С
20181999,20181999,36,Team Lead в веб-проект
24686217,24686217,36,Разработчик PHP
27543056,27543056,38,IOS Developer
23987096,23987096,38,Junior/Middle .NET Developer (WPF)
22343066,22343066,38,Junior IOS Developer
22954468,22954468,38,Backend-разработчик
21402499,21402499,28,Программист 1С 8.3
22421831,22421831,38,Инженер-программист ПЛИС/Инженер-разработчик проектов ПЛИС
24635532,24635532,38,Senior Java Developer
22632021,22632021,36,"Frontend developer (проект AngularJS, рассматриваем перенос на любой другой)"
21332575,21332575,10,C# Developer
25023649,25023649,0,Разработчик iOS (проект OK.ru)
28047174,28047174,38,Инженер-программист 1С
23089614,23089614,38,Middle/Senior iOS разработчик
23741142,23741142,36,Программист 1С
24959093,24959093,38,Веб-программист
23550417,23550417,36,Программист С++
24075576,24075576,8,PHP Developer
25081297,25081297,36,Backend-разработчик
22181374,22181374,38,Разработчик .NET
21996404,21996404,28,Middle\Senior Java Developer
27663119,27663119,36,Программист 1С
25699703,25699703,36,Программист 1C (ЗУП)
21944150,21944150,38,Ведущий программист 1C
23297620,23297620,38,Программист 1С
27278445,27278445,38,Программист PHP
25055693,25055693,36,Программист 1С
23090656,23090656,36,"Ведущий AR Разработчик, C# Unity3D Lead Developer"
22236651,22236651,36,".NET developer (Core, Xamarin, UWP)"
20835014,20835014,38,Программист
27996870,27996870,36,Senior Software Developer (Build Tools)
21436522,21436522,36,Senior front-end разработчик / Старший разработчик JavaScript
20635762,20635762,36,Программист 1 С
23185870,23185870,38,Верстальщик/дизайнер-верстальщик
24811624,24811624,36,Java разработчик (Faktura.ru)
25055880,25055880,18,Android Developer
25098726,25098726,36,"JavaScript разработчик (Москва, Россия)"
27302041,27302041,38,Программист 1С
24790701,24790701,38,Разработчик Windows (UWP)
20785025,20785025,38,Инженер-программист АСУ ТП
20499781,20499781,38,Senior Java Developer (Рязань)
28054147,28054147,26,Web-разработчик клиентских приложений (Front-end Web-developer)
24053420,24053420,5,Web-программист / PHP
25306581,25306581,38,PHP-разработчик
23074373,23074373,38,Программист 1С
24058030,24058030,36,Инженер-разработчик (С++)
24133632,24133632,8,Веб-разработчик
24284229,24284229,38,Web-разработчик (Bitrix)
27719474,27719474,28,Оператор станка с ЧПУ Homag (прямолинейная оклейка)
24070832,24070832,36,Разработчик-исследователь компьютерного зрения
25130702,25130702,5,Программист Python
22713380,22713380,38,Php/js разработчик
25786481,25786481,38,Программист 1С
20485824,20485824,38,Программист 1C
24025695,24025695,28,Frontend-разработчик junior
21694914,21694914,18,IOS Developer
23020263,23020263,38,Android разработчик
21957145,21957145,36,Web-developer
23102109,23102109,36,Oracle Developer
27580770,27580770,28,Веб-программист
20041547,20041547,36,Программист 1C Bitrix
27734862,27734862,18,Программист 1С
22094707,22094707,5,Наладчик станков с ЧПУ
23587780,23587780,5,Программист 1C
24200340,24200340,18,Программист/консультант 1С
23891793,23891793,38,Программист 1C
20567734,20567734,41,Full-stack разработчик ASP.NET MVC 5
26041625,26041625,38,"Web-программист, PHP"
23430475,23430475,8,Старший Java-разработчик
23048038,23048038,38,Frontend-разработчик
21881144,21881144,28,Помощник программиста PHP
23193965,23193965,10,PHP-разработчик/ PHP Developer
25788144,25788144,38,Разработчик/программист Webtutor
22556755,22556755,38,Программист 1С
20218676,20218676,8,CSS Верстальщик (Drupal)
26126195,26126195,38,Инженер по АСУ ТП
24920271,24920271,38,Программист 1С
24800200,24800200,38,Junior front-end developer + php + bitrix
20144693,20144693,36,"Разработчик автотестов (Selenium, PHPUnit)"
20465059,20465059,38,Программист C#
23310597,23310597,38,Senior Developer C#
25960077,25960077,36,PHP-разработчик (Drupal)
26058010,26058010,38,Frontend разработчик
24533329,24533329,8,Ведущий web-разработчик / Senior web developer
23310877,23310877,28,Java разработчик в Amazing Hiring
20724459,20724459,36,Инженер-программист
24533349,24533349,28,Программист-стажер 1С
20706304,20706304,38,Web-программист/web-разработчик
21984732,21984732,36,Программист
27851190,27851190,38,Верстальщик / Frontend-разработчик
25408796,25408796,38,Инженер-программист встроенного ПО / Embedded C/C++
25416318,25416318,38,Программист C#
25106906,25106906,38,Программист 1С
20214628,20214628,5,Инженер-программист (1 категория)
24002973,24002973,36,Программист 1C
24568212,24568212,28,Backend engineer
23967965,23967965,36,"Программист C#, Web, SQL"
20138063,20138063,38,Программист-разработчик
25439664,25439664,8,Инженер-программист встраиваемых систем (embedded system)
28046363,28046363,38,Программист-разработчик 1С
27725314,27725314,38,Ведущий разработчик PHP
25020811,25020811,36,IOS-developer
24169212,24169212,38,Программист (1С International)
24648312,24648312,38,Junior iOS разработчик мобильных приложений
22335958,22335958,8,Web Developer / Веб разр⁢аботчик (верстка сайтов)
24997917,24997917,26,Разработчик .NET
27821257,27821257,26,Java-разработчик
22807222,22807222,38,"Программист ASP.NET, С#"
20373568,20373568,38,Embedded разработчик (Linux)
25319145,25319145,18,Программист PHP
23264345,23264345,8,Фронтенд-разработчик (frontend-developer)
20568081,20568081,38,Junior .NET Developer (С#)
23938669,23938669,38,Программист 1C
24866577,24866577,38,Разработчик python/django
22117020,22117020,36,Frontend developer (Брест)
22589814,22589814,28,Frontend Developer (Middle or Senior)
25692436,25692436,5,Разработчик Битрикс
20302437,20302437,36,Backend программист
20103092,20103092,28,Программист Битрикс24
21515299,21515299,8,Разработчик .NET
22462878,22462878,8,"Программист-разработчик Java, Oracle"
25049982,25049982,38,Веб-программист
24921694,24921694,36,Андроид-разработчик
20659314,20659314,38,Программист
24125518,24125518,38,Программист 1С
27411208,27411208,38,Java разработчик
20862897,20862897,36,PHP-разработчик
24796591,24796591,36,Программист С#
25513490,25513490,36,Web-разработчик Битрикс24 (Корпоративный портал)
25638640,25638640,28,Программист С
25321919,25321919,38,Senior Java Developer
23603263,23603263,36,Программист С++
25838893,25838893,38,Frontend-разработчик
24818719,24818719,36,Fullstack Javascript Developer
22610409,22610409,36,Full-stack Разработчик (Node.js + Angular.js)
23231634,23231634,38,"Junior разработчик C#, .net"
23431709,23431709,28,Программист 1С:Предприятия
27527251,27527251,10,Программист 1 С
23184282,23184282,38,Младший разработчик (Machine Learning)
25823281,25823281,38,Java developer
24701428,24701428,36,Программист 1C
24080694,24080694,8,Frontend-разработчик
27791036,27791036,38,Разработчик C# / .NET
27382330,27382330,36,Программист JavaScript + PHP
23676011,23676011,38,  Backend разработчик
25576789,25576789,8,Front-end/Web-разработчик ReactJS
25252282,25252282,38,Middle web-разработчик (PHP)
23412587,23412587,10,Наладчик станков с ЧПУ
21292607,21292607,8,IOS разработчик
27554475,27554475,36,PHP/JavaScript-разработчик (удаленно)
24202464,24202464,36,Junior Software Developer
20127580,20127580,36,Программист 1С 8
22555065,22555065,18,Младший разработчик Python/Django
