k,count,ars,homogeneity,completeness,v_measure
10,10,0.3074166751128708,0.44852355523506887,0.5709122172166141,0.5023711827912498
11,11,0.26840331132760303,0.41960536946596294,0.5315915395113252,0.4690062851054863
12,12,0.3176835790901213,0.45793871579528644,0.5559423889703493,0.5022039417927503
13,13,0.2767993066648337,0.43270881376913867,0.49802547465893776,0.4630752622865988
14,14,0.2825026529855395,0.43663035290611396,0.5007381326449523,0.466492037956194
15,15,0.2902083711131459,0.4569105018794373,0.4871783137634122,0.4715592095958638
16,16,0.2914007448162703,0.4690667422544511,0.5081274454859892,0.48781642071636616
17,16,0.30288214289083815,0.48654350803508245,0.5015620114452185,0.4939386244376785
18,16,0.26464184663872276,0.4762558014020035,0.45848393643591023,0.4672009239326746
19,18,0.26339718307721904,0.47536729435519226,0.4605978384510209,0.46786603597902376
20,20,0.25536480035717957,0.4760156028407811,0.46007745231827785,0.46791084414470535
21,19,0.3601201688611602,0.5690040435978538,0.5094782997265767,0.5375984400007462
22,21,0.3069832647797052,0.5605740075549344,0.4911489289913411,0.5235700655823355
23,20,0.2702135883082605,0.49586066412695845,0.45625203249173735,0.4752324733071627
24,22,0.3718450933662964,0.5808199688291987,0.5205068859044689,0.5490119340085042
25,23,0.3587186658571019,0.5751201511382995,0.5017504614206666,0.5359358828081386
26,24,0.33349752348642003,0.5596635984428304,0.4853541589661406,0.5198668696303858
27,25,0.39656697717340816,0.6216447037172846,0.529937007207423,0.5721392250485677
28,24,0.3427775769392547,0.5617012301703913,0.4858013703770164,0.5210015272833344
29,25,0.4257058694016586,0.6430511124472408,0.5427164727995033,0.5886388461269022
30,26,0.40495230462428444,0.6381925687739588,0.5270640016092746,0.5773292125436014
31,27,0.3166641496993318,0.5853630737120384,0.4869423573518303,0.5316359812469806
32,28,0.34881836717051207,0.6059515176105367,0.49774867553396246,0.5465461856432807
33,30,0.3713904253152635,0.6293579050523908,0.5170409371589904,0.5676973650967919
34,31,0.4015358340624236,0.6288360309795645,0.5124275033651163,0.5646949502612731
35,32,0.3443997999536843,0.6160413184699504,0.49518387769350125,0.5490403384526864
36,33,0.43312063162541176,0.6537890504339818,0.5431738356454142,0.5933702880134972
37,33,0.3521114320885378,0.640074391308722,0.4981738731432585,0.5602790684185257
38,33,0.35382496648453676,0.6213619877466869,0.48823592820576456,0.5468129355287698
39,32,0.41000242235245643,0.6469339796360469,0.5089155925520911,0.5696844944369137
40,34,0.3678704012673823,0.6545217837873056,0.5068324537545252,0.5712862983388567
41,33,0.36822809667058537,0.6540981985898408,0.5102282240074503,0.573274565818899
42,34,0.32112146571698735,0.6137116180939224,0.47565728777713284,0.5359367284427041
43,37,0.3852132254779467,0.6792904922399257,0.5172964521327343,0.5873280888710338
44,37,0.32622259278889815,0.639302377781953,0.48253657877974737,0.5499662502827243
45,39,0.3480587716333351,0.6276345936138857,0.47846319717947783,0.5429900625794538
46,38,0.3928805675965826,0.6558235938681349,0.5000669873628355,0.5674511656247743
47,38,0.37423759386934363,0.6569496730833311,0.5032689787729293,0.5699311772809158
48,38,0.3323257571850099,0.6281567034463442,0.4732219365114479,0.5397917134999424
49,41,0.3254094696432211,0.638280242896723,0.470886356864301,0.5419518732368173
