size,count,ars,homogeneity,completeness,v_measure
10000,122,0.1596161513353414,0.8379538481020118,0.43681617260637656,0.5742711027127895
9500,122,0.12884134663783242,0.8121733630619415,0.42101615888376165,0.5545588955776106
9000,121,0.1223218132027434,0.8097431045971009,0.4175512420130089,0.5509831280000196
8500,116,0.12215464538627327,0.8129619535823953,0.4199187952555735,0.5537891713512391
8000,109,0.12931739355748387,0.8257066547809692,0.4305955529255477,0.5660192450330778
7500,100,0.1444321696230285,0.8149498384151992,0.43704191753843424,0.5689609989601341
7000,98,0.12014030415187806,0.8070881023500751,0.4291361517472995,0.5603363325312343
6500,95,0.11971320721002433,0.8090075163307896,0.43477724349102903,0.5655931303808762
6000,85,0.13245111562673678,0.8190674712901128,0.4486898982026863,0.579775450978169
5500,76,0.14548372862123646,0.8246224654210593,0.46228720897027226,0.592446269663779
5000,67,0.1711094612495764,0.8092914209819958,0.4695182037659712,0.594266803985878
4500,60,0.16771083593665953,0.8073313276310369,0.47798236184334125,0.6004606314105485
4000,57,0.16483001099301325,0.8076302138028291,0.479427345239697,0.6016825069220788
3500,53,0.23344583248454281,0.8420450090049967,0.5165202219397725,0.6402832415077762
3000,50,0.2104329704923848,0.8269818046605194,0.516073816591958,0.6355412976645878
2500,40,0.2717592779338897,0.8303769837104632,0.5530329704672009,0.6639042151203374
2000,32,0.31161994659613435,0.8436465528773541,0.5909271144717588,0.6950268703134358
1500,26,0.3209402901785714,0.8601025345781615,0.6281849445603368,0.7260740556830386
1000,14,0.2822725197893588,0.7263012541376133,0.6371553662441084,0.6788140299675206
