size,count,ars,homogeneity,completeness,v_measure
20000,144,0.25207300712399966,0.9273159880222938,0.4876238225340493,0.6391527942076567
19500,150,0.24150426895536872,0.9289360349264512,0.48383719268178443,0.6362716882463411
19000,144,0.25219203899896186,0.9389238414007414,0.49255205738851665,0.6461427261251419
18500,135,0.2653004919287037,0.9492283729067047,0.5049889848114905,0.6592547803728117
18000,142,0.2680013384654219,0.9501747597673087,0.5033393198328353,0.6580745573997775
17500,136,0.27071054141804796,0.9386689710669675,0.5013277485597938,0.6535859359872886
17000,139,0.2539770485355775,0.9362134533707098,0.4947643930819917,0.6473965787805999
16500,146,0.2331430188205379,0.9216048753091759,0.4797531778033399,0.6310205541354649
16000,147,0.2386390496112699,0.9310432247069002,0.48423462332557976,0.6371093362939886
15500,146,0.24758673376227802,0.9298804676322503,0.4845618153809826,0.6371197650049107
15000,153,0.2158873400656258,0.9068387643086252,0.4656327829959281,0.6153189235622311
14500,150,0.2351839863814077,0.9173684061186833,0.4738939885045166,0.6249509432350535
14000,147,0.23309834629546228,0.9102635135726761,0.4724545769567073,0.6220474964053647
13500,146,0.22016316380815393,0.9043440793712411,0.4647642259716271,0.6139861608037509
13000,144,0.22447563328192494,0.9115130840577879,0.4702820556779135,0.6204512298834738
12500,133,0.2369536646205022,0.9057845387630821,0.476651280884102,0.6246125201191984
12000,143,0.1924197267449288,0.9062465711885207,0.46388157550230846,0.6136522167679512
11500,127,0.21580594368224001,0.9149683492160771,0.4798710600354348,0.6295589710543087
11000,125,0.20818836775755933,0.8847290420288714,0.46604672570138866,0.6105011401904569
10500,119,0.2125339329516567,0.891422231647743,0.4723566028971518,0.6175036104422905
10000,117,0.21082854799015588,0.8938206883764572,0.4734659717467738,0.6190270016258156
9500,110,0.18707653188843085,0.8817488903034711,0.4665146742856923,0.6101904808011908
9000,112,0.19999067507065976,0.8804171865829834,0.46799682552189426,0.6111364087837827
8500,111,0.19859805664924263,0.876101956833309,0.4662060163552163,0.6085697341811159
8000,105,0.18944784706091342,0.8598684598061962,0.46319620829784824,0.6020685455804491
7500,102,0.1753336401519822,0.8483657288304884,0.4585778561390908,0.5953458766286658
7000,92,0.1886815003302041,0.8426454965260958,0.466035611122842,0.6001504975325047
6500,85,0.1808642181618989,0.8200505829986653,0.4573229333101721,0.5871860239648085
6000,79,0.21042742585556148,0.8649897421320418,0.48762171979392427,0.6236643670931948
5500,77,0.17969170816055896,0.8368137676713148,0.4735926291556485,0.6048640075395386
5000,70,0.1738421898915981,0.830774190726785,0.47700721914294364,0.606042085418217
4500,64,0.1714204012154843,0.8277402025885441,0.48317751687481464,0.6101762906491365
4000,64,0.16362116496316093,0.8427045357064863,0.4866568996132509,0.6169999606439671
3500,59,0.18301646878590577,0.8219015609240305,0.49000211511280023,0.6139680993713148
3000,50,0.19066571540961635,0.8190001154110992,0.5052200374103669,0.6249342574427296
2500,45,0.2396835578362198,0.8235228824074405,0.531547090985899,0.6460790971669378
2000,38,0.24741534520841196,0.8327414928690677,0.5575627418771338,0.667919464582072
1500,27,0.26531411916122366,0.8090547522780877,0.6023084354972332,0.6905387731478674
1000,18,0.30980665831337534,0.7759640282547646,0.6624314012718353,0.7147171466507166
