size,count,ars,homogeneity,completeness,v_measure
20000,314,0.048529388856773985,0.8093628937410579,0.343763122486462,0.48256497843546714
19500,308,0.05025084187778869,0.813524788138481,0.34757881130868834,0.48706072217148716
19000,296,0.050864572857925075,0.8127189165400853,0.3496349663416605,0.4889301876382729
18500,288,0.05184501385489564,0.8085875260393454,0.3499590336937557,0.4884957050577981
18000,283,0.049924251072938915,0.8098577926333778,0.3506411536450024,0.4893920353965478
17500,273,0.05302600577155569,0.8090389638033002,0.35254380149287357,0.4910914320984207
17000,267,0.05294969372743722,0.8061434911894839,0.35237394801109373,0.4903922117044695
16500,263,0.05348979097401407,0.8087798654433407,0.35440252285499724,0.49284381818533546
16000,252,0.056497947600511425,0.8027559560246352,0.35511170723138064,0.492401760720104
15500,245,0.05554116841194945,0.7995287298215932,0.3552036595314017,0.4918811204252234
15000,233,0.058763129662984845,0.8017166182133763,0.35892978354520755,0.4958615678365364
14500,222,0.06286923531902157,0.796637757362157,0.35978451480382406,0.4956976978143361
14000,216,0.06522843564184977,0.7929742052398314,0.36101555095113175,0.4961500187655399
13500,219,0.06268746792460718,0.8023376995902696,0.3629894575310363,0.4998426828915901
13000,209,0.06692465216790751,0.808326068114018,0.36931324021259276,0.5069897331937544
12500,208,0.06662827597545369,0.8104168585607984,0.3704751497735091,0.5084957895138732
12000,197,0.07198994696648876,0.8107810807128347,0.37557379284010434,0.5133508234924109
11500,188,0.0743554271965813,0.8007930608956264,0.3741159576509027,0.509978999442501
11000,179,0.08249443465798047,0.7949326808965345,0.37616630792124317,0.5106773969989543
10500,176,0.08449002552179803,0.8031437143175476,0.38193263717496434,0.5176827576610963
10000,168,0.07927295714618716,0.7864655439340048,0.37806867254494686,0.5106556423846271
9500,166,0.07242833599484454,0.7835229399913196,0.37639577686273046,0.5085092970784637
9000,158,0.08242846627889922,0.7888893222465163,0.38337662509055964,0.5159950719712982
8500,149,0.0761733496415965,0.7900172842024215,0.38521068870900765,0.5178962876210739
8000,142,0.08916290615305791,0.799621267633982,0.39463475940341647,0.5284601281844057
7500,131,0.084077608392852,0.7824638555228418,0.39072536970485316,0.5211921021018767
7000,122,0.10055315349740634,0.8072715916659384,0.41187949398293244,0.5454592438888687
6500,111,0.10868597581013915,0.7928512282746443,0.4155733316987027,0.545317990694876
6000,104,0.11470205096774067,0.8110867489910788,0.4280730625433386,0.5603867804573127
5500,101,0.12748104264192558,0.8240278004170194,0.4394608530726359,0.5732191723711367
5000,91,0.13746927807130147,0.8283372286933834,0.4515961022790608,0.584520857139276
4500,81,0.14331307982021835,0.8283291865281275,0.46088066402680905,0.5922401312021346
4000,71,0.15217487527843837,0.8095747858487764,0.46592574586413593,0.591456807035325
3500,67,0.18856389710233137,0.8179783148709501,0.4809001519602205,0.6057008503363465
3000,54,0.19907827465389802,0.7919738757347129,0.4915608246658377,0.6066113075843853
2500,46,0.18356519924696257,0.8005971370115968,0.5095202159456588,0.6227234914717353
2000,39,0.311119706245601,0.8257858365175121,0.5663656528898063,0.6719049442607837
1500,32,0.31121875,0.8343415822972713,0.5905227960681132,0.6915713965974855
1000,23,0.3612864442440637,0.8320623301921236,0.6389633616559236,0.7228389640685338
