id,title,aff_d300_euclidean,aff_d300_cosine
23116845,Веб-программист,222,11
22574673,Программист,440,29
24467679,Программист-стажер,284,17
24464802,Программист АSP.NET,9,6
21842957,Разработчик Ruby,553,16
24658200,Ведущий разработчик .net,433,18
22990928,Front-end developer,244,3
24920902,Delphi/SQL-программист,152,20
28059242,Frontend-разработчик,434,16
23169420,Программист 1С,0,17
25507393,"Программист микроконтроллеров (AVR, ARM)",271,2
22157762,Frontend-разработчик,22,11
20313214,Веб-разработчик (frontend),256,3
24839147,PHP Developer (middle),238,21
23802974,Программист 1C,233,17
27406691,.NET-разработчик,381,17
25164908,Back-end разработчик,503,2
25418304,Программист,537,6
23932395,Разработчик  Big Data на стеке ELK,84,29
24988755,Frontend Developer (React),396,9
27956818,Unity-разработчик,1,2
24693716,"Ведущий Front-end разработчик (Лимасол, Кипр)",34,18
27831446,"Программист (Bitrix, PHP, web разработчик)",59,11
23339039,Инженер-программист С++,216,2
22850856,Разработчик мобильных приложений для IOS,185,23
24271216,Ведущий PHP разработчик,243,24
28017319,Программист,159,23
23211002,PHP Back-end разработчик,268,23
21980695,.NET Developer,328,29
24187443,Программист PHP,212,23
25796947,Помощник программиста 1С,48,17
21736656,PHP разработчик,473,9
23654577,Back end developer,124,23
22565755,Middle/Senior Python Backend Developer,345,3
24830051,Разработчик С++,266,2
20600509,Программист 1С,177,23
25832068,"NodeJS FullStack Developer (remote, full-time)",123,10
20129354,JavaScript Developer,280,3
23941705,Программист в 1с8,126,20
22293770,Программист-разработчик ПО (windows),244,18
22471037,Senior Frontend Developer,280,3
27937903,Инженер-программист 1С,40,17
20652104,PHP-программист,356,2
23885974,Ведущий инженер ( программист) АСУТП,366,20
20481345,Java-разработчик,186,0
28018594,PHP-разработчик (junior),380,17
27588929,Веб-программист (PHP/MySQL),304,23
23761525,Программист,47,8
23405045,Frontend-разработчик (Ruby),32,2
22414775,Программист 1С,177,20
20240539,Программист-разработчик,225,23
24762967,Backend JavaScript (Node.js) developer,552,16
24628650,Программист C#,179,23
27919310,Java-программист,14,4
27673819,Программист 1С,499,17
26075161,Программист 1С,200,20
24765228,Инженер-программист,544,13
20110272,Инженер-программист Java,437,25
24175635,Frontend-разработчик,503,3
22698674,Серверный разработчик C++,123,26
20730754,Android разработчик в команду Ultimate Guitar Russia,542,21
22479283,Программист С++,291,2
24034240,Frontend-разработчик (HTML + CSS + JavaScript),197,11
24585300,IOS-разработчик,399,2
21705439,Middle PHP разработчик,15,9
23775138,Front-end разработчик,80,0
22696067,Backend разработчик,2,29
23746232,Fullstack Developer,437,2
24105706,Разработчик Битрикс,537,3
20252400,PHP-разработчик,147,14
27809005,Программист 1С,200,20
23403413,Программист 1C,200,20
22855850,Программист-разработчик,91,3
25288161,Программист 1C,146,27
23721240,Разработчик Java/C# (Quintiq Specialist),133,5
26048519,Менеджер процессов (системы адресного учета продукции),235,23
