id,title,AffinityPropagation_w2v_300,AffinityPropagation_artm_200,text
22383486,Разработчик iOS приложений,18,172,"Разработчик iOS приложений Компания ПРО ДЕВЕЛОПМЕНТ является признанным лидером в сфере разработки специализированных ИТ решений для автобизнеса. Основные направления деятельности компании связаны с разработкой платформы системной интеграции участников рынка, распределенных e-commerce систем и специализированных высоконагруженных экспертных сервисов. Компания представлена на рынках РФ, СНГ и ЕС, где ее клиентами являются бренды с мировым именем, лидеры рынка и крупные региональные операторы. Мы используем современные технологии при разработке решений enterprise уровня, которые охватывают весь информационный контур продуктов компании от решений для мобильных устройств и веб-интерфейсов вплоть до высоконагруженных серверных компонентов, обрабатывающих большие объемы данных. У нас работает квалифицированная команда, способная к адекватной и продуктивной внутренней коммуникации, разделяющая ценности и дух совместной работы над сложными проектами. Наши сотрудники всегда готовы поделиться опытом и прийти на помощь коллегам. Ключевые члены команды – высококлассные специалисты, имеющие за плечами большой опыт работы в крупных международных проектах. Мы приглашаем Вас присоединиться к команде экспертов в области разработки высоконагруженных распределенных систем.   Основная задача:  Разработка и поддержка iOs-приложений.  Обязанности:  Совместная разработка мобильных приложений на iOS; Поддержка, отладка и тестирование приложений; Взаимодействие с back end разработчиками, проектировщиками интерфейса, тестировщиками; Оценка трудоемкости работ по проектам и задачам; Поиск простых и изящных решений для сложных задач.  Требования:  Понимание принципов ООП; Знание Objective-C; Знание iOS SDK и основных фреймворков; Опыт параллельного и многопоточного программирования; Опыт создания кастомных UI компонентов.  Плюсом является:  Опыт коммерческой разработка iOS-приложений; Опыт создания кастомной UI анимации; Опыт работы с сетевыми приложениями (знание принципов REST API, CRUD); Умение разбираться в чужом коде; Опыт разработки на других языках(например, C, C++, Java) Знание распределенных систем контроля версий(Git); Знание технического английского языка; Опыт работы в команде.  Условия:  Официальное трудоустройство; Внутреннее обучение, профессиональный рост; Дружный коллектив; Комфортные рабочие места; Гибкий график; Офис компании в Академгородке. "
25886207,.NET/Xamarin Engineer,18,215,".NET/Xamarin Engineer Международная технологическая компания Kino-mo, специализирующаяся на передовых визуальных технологиях приглашает в команду .NET Engineer.   Функциональные обязанности:    Разработка кроссплатформенных приложений Разработка мобильных приложений   Разработка десктопных приложений (UI) Работа с API платформы (аутентификация, рецензирование, загрузка контента, логирование) Управление Hypervsn устройствами (доставка контента, доставка обновлений, сбор логов, управление плеером)    Требования:  C# .NET Xamarin, Entity framework, ASP.net. JSON сериализация/десериализация HTTP запросы XML сериализация/десериализация опыт работы с Git опыт работы с JIRA    Условия:  Работа в активно растущей международной компании, производителе инновационных продуктов для ряда индустрий Работа и развитие в команде с высоким драйвом и инженерами высшего класса - от промышленных дизайнеров, конструкторов и схемотехников до разработчиков сложных аппаратных программных средств, разработчиков облачных сервисов/систем и программного обеспечения Комфортные условия труда Резидент ПВТ   "
22833434,"IOS developer (iPhone, iPad)",18,352,"IOS developer (iPhone, iPad) Мы ищем квалифицированных разработчиков программного обеспечения, желающих работать в дружном коллективе IT‑профессионалов, участвовать в создании программных продуктов, способных выдерживать конкуренцию на мировом рынке, обучаться самому и обучать других, постоянно развиваться и добиваться поставленных целей. Компания «Эксперт-Система» с 2002 года создает решения для работы на фондовом рынке и рынке FOREX. Появление мобильных компонент в составе систем онлайн торговли было обусловлено их востребованностью в среде профессиональных трейдеров. К мобильным приложениям предъявляются высокие требования по удобству и надежности, а также по работе в режиме реального времени. Мобильное подразделение «Эксперт-Системы» уже 15 год активно участвует во всех крупных проектах компании. Его задачей является разработка мобильных терминалов для пользователей торговых и банковских систем, производительных протоколов передачи данных на мобильные устройства, а также технологии трансляции Java кода под различные платформы.   Вы будете:  участвовать в проектах компании в качестве разработчика клиент-серверных приложений для мобильных устройств; писать и отлаживать код, участвовать в проектировании архитектуры разрабатываемых систем, проводить исследования новых технологий и средств разработки, изучать предметную область; принимать участие в процессной деятельности: анализе требований, сборке релизов, инспектировании кода.    Платформы, под которые ведется разработка:  Google Android; Apple iOS.    Требования:  высшее техническое образование (незаконченное высшее); опыт коммерческого программирования от 2-х лет; знание структур данных и алгоритмов; твердое знание принципов ООП и умение их применять; отличное знание языка Objective C/C/C++; хорошее знание Cocoa Framework; владение английским языком на уровне, достаточном для чтения и написания технической документации; ответственность, самостоятельность, инициативность; коммуникабельность, умение и желание работать в команде.    Дополнительными преимуществами будут являться:  хорошее знание Java опыт разработки на языке Swift "
27820632,Android разработчик,18,271,"Android разработчик Наша компания с 2012 года занимается разработкой и внедрением программных продуктов для бизнеса и сотрудничает с крупными российскими и европейскими заказчиками. Мы приглашаем в свою команду Android разработчика для работы над уникальными и интересными проектами. Над чем предстоит работать:- Разработка приложений для мобильной платформы Android;- Участие в развитии мобильных технологий в компании. Требования:- Отличное знание языка Java и опыт его использования в Android;- Отличное знание Android API;- Знание классических алгоритмов и структур данных;- Знание ORM;- Клиент-серверной синхронизации на Android;- Опыт работы с системами контроля версия (Git). Будет плюсом:- Опыт работы с Kotlin.- Опыт написания unit тестов.- Наличие разработанных приложений в Play Market.- Наличие аккаунта на GitHub. Плюсы работы у нас:- Возможность работать над уникальными проектами и передовыми технологиями.- Опытные и дружные коллеги, готовые научить вас новым трендам в IT-индустрии и прийти на помощь в трудную минуту.- Возможность обучения и развития за счет компании.- Отличные перспективы для карьерного роста.- Работа в стабильной компании."
23279314,Mid Android developer/Android разработчик,21,352,"Mid Android developer/Android разработчик SENLA - энергичная и активно развивающаяся компания, занимающаяся разработкой программного обеспечения и бизнес-решений, поддержкой и сопровождением IT-систем, тестированием и контролем качества. В связи с ростом отдела , ищет в свою команду Android разработчика! Требования:  Отличное знание Java и специфики написания кода под Android SDK; Понимание принципов работы многопоточных приложений; Знание ООП и паттернов проектирования; Умение работы в команде; Понимание принципов работы RESTful API и HTTP; Умение работать с Jira, Git; Умение создавать кастомные UI-компоненты; Технический английский язык;  Будет большим плюсом:  Знание языка kotlin    Мы предлагаем:  Конкурентный уровень дохода в зависимости от Вашего опыта; Прозрачная система карьерного роста и профессионального развития в одном из направлений: разработка, архитектура или менеджмент; Корпоративные программы спорта и отдыха; Гибкий рабочий график; Оформление в штат согласно законодательству; Оплата больничных и отпусков в соответствии с ТК c дополнительной компенсаций до среднего заработка в зависимости от стажа; Финансовая поддержка со стороны компании при значимых событиях в жизни сотрудников; Курсы английского языка в офисе.  В резюме, пожалуйста, указывайте желаемый уровень заработной платы."
22126940,Android developer,39,48,"Android developer Нейросетевое приложение, которое работает в режиме реального времени и выводит общение в сети на новый уровень, ищет Android-разработчика.   Требования:  Java или Kotlin. Знание классических алгоритмов и структур данных. Знание ООП и шаблонов проектирования. Open GL или GLSL.    Будет большим плюсом:  Знание C++. Работа с Vulkan. Опыт разработки и применения алгоритмов DSP в области обработки графики. Хорошее знание специальных алгоритмов и классических DFT, FFT.    Компания предлагает:  Стать участником «взлетающего» стартапа. Возможность реализовать вашу идею в рамках проекта. Высокую зарплату. Возможность получить опцион. Оформление по ТК РФ. "
20119657,"Mobile Developer / iOS, Android разработчик",40,170,"Mobile Developer / iOS, Android разработчик Создаем пользовательские платформы и мобильные приложения. iOS и Android разработка.Сильная команда и отличное рабочее место. В сопроводительном письме прикрепите ссылки на ваши работы.   Обязанности:  Поддержка имеющихся проектов компании и участие в разработке новых; Разработка приложений iOS, Android.  Требования:  Опыт создания приложений; Понимаете платформ IOS и Android; Уверенное владение Android Studio, Git, Jira; Опыт сборки с помощью Gradle, Retrofit. Опыт разработки UI/UX для мобильных платформ, построения кастомных UI - элементов, знаете HIG; Уверенное знание JavaScript; Знание английского языка на уровне чтения технической документации; Умение спокойно работать с любым чужим кодом/версткой а при необходимости и с макетом; Аккуратность, внимание к деталям.  Будет плюсом:  Front-end и Back-end разработка; Ведение git-репозиториев для совместной разработки; Работа с API интеграцией. Опыт работы с фреймворком Yii; Опыт работы с библиотекой jQuery; Опыт работы с шаблонным движками; Опыт работы с JSON или Google Protocol Buffers Умение быстро работать по SSH.  Преимущества работы в нашей компании:  Компания еще только развивается и у вас есть возможность вырасти вместе с ней; Интересная работ, которая позволит внести свой вклад в создание нового продукта; Конкурентоспособная заработная плата; Социальный пакет; Удобное расположение. Мы находимся в бизнес-центре рядом с м. Дмитровская. "
23477489,"Разработчик мобильных приложений (Android, iOS)",40,264,"Разработчик мобильных приложений (Android, iOS) Ищем разработчика, которому интересно заниматься разработкой мобильных приложений с нуля и их поддержкой. Необходимо сделать приложения для iOS и Android для нескольких сайтов спортивной тематики.   Обязанности:  Разработка мобильных приложений под платформу Android и iOS; Участие в разработке технического задания, прототипирование и взаимодействие с дизайнером; Организация взаимодействия приложений и серверной части (документированный API).  Требования:  Опыт разработки мобильных приложений на нативных SDK Android, iOS; Хорошее знание сетевого взаимодействия (НТТР(S), WebSocket); Знание сетевых протоколов. Умение работать с API (SOAP, REST, JSON, GraphQL). Опыт написания и понимание архитектуры клиент-серверных приложений.  Условия:  Оформление по ТК РФ; Комфортные условия работы в амбициозном коллективе; Премии по итогам реализации проектов; Мы доверяем своим сотрудникам и проявляем к ним максимально возможную гибкость в обмен на лояльность к компании и высокие результаты.  Окончательное предложение по з/п по итогам собеседования, интересным для нас кандидатам мы готовы предложить существенно больше, чем указано.   Удаленная работа не рассматривается! Огромным плюсом будет если вы сможете показать примеры своего кода, дать ссылку на github и/или ссылки на реализованные проекты с описанием вашего участия в них."
21598169,IOS-разработчик,70,267,"IOS-разработчик ООО «Исида-Информатика» - компания, ведущая деятельность по проектированию, разработке и внедрению прикладных автоматизированных систем в различных отраслях, объявляет конкурс на замещение вакантной должности iOS разработчика в международный проект. Обязательный опыт работы и знания:  Понимание принципов разработки приложений под iOS, знания архитектуры и ограничений платформы. Уверенное владение Objective-C. Опыт разработки iOS бизнес-приложений от 2х лет. Опыт разработки приложений как для iPhone, так и для iPad. Знание iOS HIG. Уверенное знание Cocoa Touch. Понимание принципов работы клиент-серверных сетевых приложений (JSON/HTTP/WebSocket).  Приветствуется:  Наличие законченных проектов, опубликованных в App Store. Опыт использования практик: unit testing, code review, continuous integration Понимание и применение подходов Functional Reactive Programming. Хорошие знания и опыт работы с C++.  Требования:  Способность быстрого погружения в различные предметные области; Навыки чтения визуальных моделей; Дисциплинированность; Владение устной и письменной речью, грамотность, техническая образованность; Знакомство с современными подходами к построению автоматизированных систем; Технический английский хорошего уровня; Знание языков программирования и конкретных программных средств имеет решающее значение; Плюсом будет опыт в применении других языков и технологий (.NET/C#, Java/Java EE, PHP).    Мы предлагаем:  Работу в сплоченном коллективе разработчиков. Уютный офис с развитой инфраструктурой. Социальный пакет. Достойную заработную плату. "
25352745,Android Разработчик,96,271,"Android Разработчик Обязанности:  разработка и поддержка Android-приложений.  Требования:  знания Java/Kotlin; знания платформы Android и основных компонентов, ООП; опыт разработки на реальных проектах под OS Android от 2 лет; опыт работы с базами данных; опыт использования распределенных систем контроля версий Git. понимание Rest API и HTTP;  За это мы даем:  уютный офис отличный коллектив рабочую машину на свой выбор "
